Sensor_ID,Timestamp,Temperature_C,Humidity_pct,Status,Location,Extra_1,Extra_2
SEN5926,2024-12-27 01:10:39,-4.67,,OK,Plant C,movie,class
SEN6214,2025-08-22 18:03:48,-0.69,67.73,ERROR,Plant C,generation,your
SEN2151,2025-05-27 22:39:56,,,ERROR,Plant C,far,bit
SEN2162,2025-02-11 04:57:12,40.69,44.2,OK,Plant B,degree,employee
SEN3255,2025-04-05 12:10:31,7.53,24.33,OK,Plant A,win,structure
SEN1095,2024-10-30 05:08:02,13.11,33.93,WARN,Plant C,important,while
SEN7852,2025-01-04 04:09:09,34.48,85.06,WARN,Plant C,close,relate
SEN3362,2024-11-01 15:55:52,39.83,66.61,WARN,Plant B,conference,during
SEN5413,2025-08-26 01:17:02,-9.72,,WARN,Warehouse 1,company,school
SEN1392,2025-01-19 21:11:07,-9.66,79.35,OK,Plant B,it,seat
SEN9622,2025-01-05 23:40:58,6.96,43.13,WARN,Warehouse 1,choose,lot
SEN4977,2025-07-08 05:45:35,9.74,18.26,WARN,Plant B,blue,talk
SEN1123,2024-12-01 02:06:00,47.76,91.92,ERROR,Plant C,rock,water
SEN9841,2025-10-11 14:58:10,28.22,91.59,ERROR,Plant C,structure,prove
SEN2275,2025-01-09 10:20:19,44.37,85.08,WARN,Plant B,one,increase
SEN7949,2025-02-08 17:37:27,0.37,64.74,OK,Plant C,not,career
SEN6481,2025-03-26 15:45:43,-3.24,,OK,Plant C,instead,improve
SEN6596,2025-07-18 05:11:03,35.51,94.15,OK,Plant A,sort,society
SEN9568,2025-03-15 14:04:37,36.47,78.14,OK,Plant B,huge,newspaper
SEN6667,2025-08-09 09:22:33,31.38,54.36,ERROR,Plant B,rule,case
SEN6307,2025-05-25 13:52:47,-2.91,65.72,ERROR,Plant B,author,notice
SEN8354,2025-04-17 22:50:15,39.3,73.48,ERROR,Plant B,glass,must
SEN6510,2025-06-14 03:59:05,41.53,24.02,ERROR,Warehouse 1,space,thus
SEN8562,2025-03-10 10:59:07,16.23,80.32,ERROR,Plant A,must,candidate
SEN3706,2024-11-04 13:11:19,4.29,51.65,WARN,Warehouse 1,school,ready
SEN2090,2024-11-17 11:38:56,8.01,12.27,OK,Warehouse 1,focus,remain
SEN7621,2025-05-28 18:42:14,12.42,90.11,WARN,Plant B,southern,guy
SEN8377,2025-02-12 00:25:17,12.38,,OK,Plant B,skin,when
SEN5258,2025-04-13 07:08:48,35.56,,WARN,Warehouse 1,arm,property
SEN4312,2025-03-17 16:35:08,23.18,97.11,WARN,Warehouse 1,cause,affect
SEN5804,2025-09-10 08:14:47,48.32,72.66,WARN,Plant C,Mrs,member
SEN7247,2025-06-16 05:22:18,29.02,77.2,WARN,Plant C,attack,or
SEN8126,2024-12-17 09:06:44,30.27,,ERROR,Plant A,computer,away
SEN9744,2025-02-11 11:38:59,46.95,89.16,WARN,Plant A,sense,mean
SEN7163,2024-11-08 16:33:53,42.71,54.38,WARN,Plant C,public,matter
SEN5085,2025-01-21 12:32:45,30.18,,ERROR,Plant B,begin,simple
SEN1946,2025-10-01 17:30:24,-4.34,14.7,WARN,Warehouse 1,girl,wait
SEN4239,2025-03-09 06:55:10,-8.06,31.19,ERROR,Plant B,deal,bar
SEN3975,2025-09-09 04:27:55,36.49,51.77,ERROR,Plant C,performance,coach
SEN7942,2025-10-05 22:34:35,3.09,69.06,WARN,Plant B,east,top
SEN7771,2024-12-31 21:57:58,2.88,33.27,WARN,Warehouse 1,now,improve
SEN2592,2025-07-13 03:46:53,26.86,62.21,WARN,Warehouse 1,shoulder,modern
SEN6428,2025-05-02 13:10:53,16.58,29.17,WARN,Warehouse 1,mean,later
SEN7821,2025-08-03 00:24:54,-2.75,98.51,OK,Plant A,religious,give
SEN9624,2025-03-31 18:43:01,5.53,,ERROR,Warehouse 1,good,enough
SEN1085,2025-08-10 07:41:26,0.45,92.71,ERROR,Plant C,near,of
SEN8039,2025-05-24 14:19:30,13.5,,WARN,Plant B,mind,decade
SEN1999,2025-09-11 04:50:12,26.15,19.25,WARN,Plant B,particular,hair
SEN2974,2025-03-22 02:29:01,26.53,49.44,OK,Warehouse 1,condition,phone
SEN5595,2025-09-20 06:20:49,-2.91,50.43,OK,Plant C,easy,occur
SEN1459,2025-06-29 17:00:19,10.62,49.85,WARN,Plant B,ball,bag
SEN1761,2025-07-25 12:17:03,39.37,72.99,ERROR,Plant B,already,per
SEN1606,2025-09-16 01:38:13,,63.53,ERROR,Plant B,enter,weight
SEN1833,2025-10-01 22:47:17,33.0,14.35,ERROR,Plant A,late,reach
SEN1515,2025-03-24 09:23:37,-4.47,61.32,ERROR,Plant A,economic,carry
SEN4289,2025-06-05 10:45:40,20.18,24.9,ERROR,Plant B,adult,might
SEN6620,2024-12-23 15:27:37,40.02,,ERROR,Plant C,tree,crime
SEN9673,2025-04-10 07:25:36,8.45,27.92,ERROR,Warehouse 1,name,never
SEN2895,2024-12-09 01:46:19,23.52,95.85,OK,Plant B,lot,sound
SEN6776,2025-01-08 22:24:21,-7.81,30.24,OK,Warehouse 1,require,however
SEN5786,2025-08-14 02:31:31,13.27,21.61,ERROR,Plant B,establish,how
SEN4015,2025-04-20 17:40:19,18.42,82.39,WARN,Plant C,identify,ahead
SEN5996,2025-06-23 15:53:30,27.42,77.76,OK,Warehouse 1,drive,affect
SEN7002,2025-08-02 03:25:17,,67.39,WARN,Plant C,down,great
SEN1981,2025-03-19 07:37:29,14.35,69.53,OK,Plant B,clearly,now
SEN5355,2025-07-03 01:52:49,-9.65,12.47,ERROR,Plant A,huge,read
SEN1517,2025-04-23 09:19:50,3.45,41.5,OK,Plant B,decision,group
SEN4760,2025-06-13 21:06:34,12.28,96.66,ERROR,Plant A,require,trial
SEN7132,2025-08-16 10:26:43,11.24,59.56,ERROR,Warehouse 1,stay,back
SEN4865,2025-08-25 14:13:34,3.47,,OK,Plant C,opportunity,place
SEN3252,2025-05-19 14:15:21,40.01,78.96,ERROR,Plant B,hit,soon
SEN3064,2025-01-18 16:25:29,14.36,85.54,OK,Plant A,character,scene
SEN6544,2025-07-09 05:06:44,9.26,67.61,OK,Warehouse 1,vote,may
SEN4694,2025-04-30 19:32:04,34.71,,WARN,Plant B,sense,car
SEN7472,2025-07-26 18:11:45,32.41,48.86,ERROR,Plant A,much,discuss
SEN2221,2024-12-19 09:44:08,25.92,,ERROR,Plant B,eye,manager
SEN4522,2024-11-01 10:34:23,,92.67,OK,Plant A,campaign,century
SEN2560,2025-04-10 23:59:22,35.94,,ERROR,Plant C,area,entire
SEN9129,2025-05-14 08:12:41,9.8,38.33,ERROR,Warehouse 1,score,deal
SEN4164,2025-04-06 05:51:21,-9.67,17.09,ERROR,Plant C,represent,include
SEN5676,2025-05-17 16:28:29,43.51,99.85,ERROR,Plant A,especially,worry
SEN5260,2025-02-07 01:09:56,1.01,61.51,OK,Warehouse 1,open,bank
SEN9462,2024-12-11 22:42:38,6.75,36.81,ERROR,Plant C,young,war
SEN4627,2024-11-06 00:59:37,16.97,,WARN,Plant A,challenge,simple
SEN4325,2025-02-08 05:31:11,29.29,20.02,ERROR,Plant A,also,add
SEN8990,2025-04-06 19:04:54,27.05,74.19,WARN,Plant A,cover,boy
SEN2542,2024-12-16 09:25:49,40.67,,WARN,Plant B,building,window
SEN5046,2025-07-12 01:19:54,36.54,18.58,ERROR,Plant A,ahead,value
SEN1548,2025-05-30 21:45:09,22.6,41.19,OK,Plant A,reach,daughter
SEN2260,2024-10-30 09:05:59,2.41,46.65,ERROR,Plant A,successful,start
SEN1758,2024-11-07 10:32:14,29.11,19.83,WARN,Plant C,challenge,by
SEN9431,2025-07-01 00:58:25,30.88,78.54,OK,Plant B,cultural,discover
SEN6075,2024-11-19 23:03:54,5.52,75.09,ERROR,Warehouse 1,American,up
SEN5372,2024-12-16 09:32:30,19.92,20.46,OK,Plant A,other,later
SEN5414,2024-12-08 22:10:38,4.21,87.74,ERROR,Warehouse 1,article,whole
SEN8251,2025-08-20 18:15:06,11.96,22.78,ERROR,Warehouse 1,camera,hard
SEN9430,2025-09-29 12:33:15,43.16,58.35,OK,Plant B,tend,certain
SEN1495,2025-10-19 20:00:30,13.51,47.34,WARN,Plant A,street,weight
SEN3027,2024-12-15 10:20:10,35.12,90.21,OK,Plant B,media,television
SEN1169,2025-05-05 14:25:48,-4.08,44.26,WARN,Plant A,company,support
SEN6583,2025-06-20 19:42:14,42.09,51.43,OK,Plant C,forget,property
SEN4353,2025-10-04 09:13:10,47.82,14.02,OK,Plant A,skill,card
SEN5871,2025-03-10 00:10:49,48.65,21.87,OK,Plant B,marriage,in
SEN9894,2024-11-25 10:57:04,11.24,33.75,ERROR,Plant A,why,now
SEN6233,2024-12-30 00:44:48,20.1,,OK,Plant B,himself,law
SEN7388,2025-08-02 18:47:49,4.08,,ERROR,Plant B,risk,third
SEN1014,2025-06-22 00:22:38,41.51,90.15,OK,Plant B,fast,he
SEN3123,2025-06-16 19:38:25,0.19,37.63,ERROR,Warehouse 1,will,something
SEN2153,2025-08-14 02:46:52,2.24,,OK,Plant C,key,dinner
SEN3889,2024-11-09 13:21:03,5.55,11.21,ERROR,Plant B,store,land
SEN4242,2024-12-31 04:35:10,9.28,,ERROR,Plant B,treatment,area
SEN9824,2025-09-06 11:43:26,-9.61,25.27,OK,Plant B,medical,analysis
SEN2073,2025-04-24 21:40:34,26.84,26.79,WARN,Plant A,understand,religious
SEN5134,2025-07-28 15:59:00,13.94,42.09,OK,Warehouse 1,few,visit
SEN3934,2025-05-08 01:05:12,12.96,,ERROR,Warehouse 1,scene,account
SEN4782,2025-10-11 14:11:07,15.13,,ERROR,Warehouse 1,civil,feel
SEN4999,2025-05-08 15:43:19,38.86,21.29,WARN,Warehouse 1,several,suffer
SEN3465,2025-06-22 12:55:55,43.87,17.82,ERROR,Plant B,government,cell
SEN5841,2025-06-21 04:48:19,22.75,52.14,OK,Warehouse 1,body,property
SEN3815,2025-08-26 01:20:02,41.52,50.98,WARN,Plant C,civil,face
SEN9428,2025-05-13 13:33:20,16.29,53.22,ERROR,Plant A,able,agree
SEN9676,2024-11-20 04:06:49,-4.97,20.51,OK,Warehouse 1,information,sort
SEN8345,2024-11-23 15:26:06,24.29,31.11,ERROR,Plant C,guess,say
SEN2111,2025-01-30 16:18:57,-3.36,86.8,WARN,Warehouse 1,respond,wind
SEN5453,2025-09-12 11:24:46,-5.97,78.59,ERROR,Plant B,account,too
SEN9100,2025-04-19 03:36:34,23.81,70.96,WARN,Warehouse 1,five,kitchen
SEN7817,2025-07-22 11:20:14,10.1,89.36,WARN,Plant B,back,require
SEN9800,2025-10-06 18:06:36,42.77,,OK,Plant B,evidence,political
SEN1925,2025-05-23 23:14:04,44.93,24.74,OK,Plant A,probably,half
SEN9460,2025-02-16 14:25:51,-5.46,91.76,ERROR,Plant A,against,use
SEN1104,2024-10-26 17:41:42,10.44,12.93,OK,Warehouse 1,meeting,itself
SEN8044,2025-03-04 21:33:24,37.91,73.55,ERROR,Plant C,west,adult
SEN9481,2024-12-25 23:08:23,20.34,,ERROR,Warehouse 1,live,rise
SEN8196,2025-03-29 02:38:19,-2.64,,ERROR,Warehouse 1,media,might
SEN1651,2025-10-18 11:33:18,-8.89,54.42,WARN,Plant C,gun,thank
SEN9759,2025-10-15 16:13:27,37.64,,ERROR,Plant A,fast,song
SEN3512,2025-05-10 03:10:06,-0.31,43.39,ERROR,Plant C,consider,industry
SEN3647,2025-03-26 02:14:40,13.66,27.1,ERROR,Plant B,memory,with
SEN2281,2025-05-06 03:06:16,27.3,16.42,OK,Plant B,eat,fight
SEN6270,2025-06-08 12:49:19,25.98,96.67,WARN,Plant A,go,cover
SEN9132,2024-11-27 06:32:28,10.11,78.54,ERROR,Plant C,nation,business
SEN8868,2024-11-05 07:37:07,33.7,84.58,ERROR,Plant B,manage,executive
SEN8802,2025-04-03 16:57:59,16.63,36.38,OK,Warehouse 1,more,whatever
SEN3060,2025-03-01 13:18:31,21.34,87.85,OK,Plant C,final,hope
SEN3846,2025-01-18 12:33:09,-2.35,52.84,ERROR,Plant A,level,produce
SEN7465,2025-08-30 08:11:48,25.22,86.0,WARN,Plant B,structure,age
SEN3042,2025-08-25 18:15:13,-2.11,,ERROR,Plant B,artist,job
SEN3684,2025-10-05 21:39:27,28.57,,WARN,Warehouse 1,no,from
SEN4273,2025-09-22 18:50:49,21.57,67.56,ERROR,Plant C,begin,often
SEN7052,2025-05-10 12:01:12,-5.36,,OK,Plant C,partner,stay
SEN9247,2025-03-26 16:02:46,10.39,68.92,ERROR,Plant C,tonight,network
SEN7900,2025-04-11 21:08:41,43.85,56.4,ERROR,Plant C,nor,economy
SEN4265,2025-08-15 06:13:15,9.75,31.61,WARN,Warehouse 1,force,work
SEN7357,2025-09-06 14:28:27,6.46,73.12,WARN,Warehouse 1,fact,crime
SEN2102,2025-04-14 14:07:04,-0.2,29.59,ERROR,Warehouse 1,knowledge,investment
SEN1593,2025-05-19 10:47:32,22.51,54.67,WARN,Plant B,here,turn
SEN3493,2025-05-10 08:18:48,23.28,73.9,OK,Plant C,trip,where
SEN1430,2025-01-22 02:13:08,7.76,80.92,WARN,Plant B,matter,major
SEN6369,2025-09-24 05:43:09,31.33,21.8,OK,Plant A,possible,where
SEN5294,2024-12-23 13:49:27,-2.56,73.71,ERROR,Plant C,material,concern
SEN9581,2025-10-16 02:28:59,9.95,62.08,WARN,Plant A,door,news
SEN2631,2025-08-23 12:04:33,25.0,57.54,WARN,Plant B,recognize,close
SEN2006,2025-04-30 11:18:38,11.54,,ERROR,Plant C,television,whole
SEN2695,2025-02-11 13:23:11,3.63,,OK,Plant C,thus,more
SEN1282,2025-05-11 10:52:51,6.75,,ERROR,Plant B,real,purpose
SEN7154,2025-03-13 11:01:57,3.94,62.9,OK,Plant B,could,continue
SEN4979,2024-12-27 20:01:26,44.94,67.27,WARN,Plant B,it,break
SEN8487,2025-01-08 20:19:41,11.64,95.6,WARN,Plant B,check,worry
SEN1321,2024-12-27 02:36:25,48.5,74.79,OK,Plant A,growth,work
SEN3566,2024-10-26 11:52:27,33.11,97.79,ERROR,Plant A,sign,leader
SEN7859,2025-02-17 13:25:34,3.26,68.03,WARN,Plant C,newspaper,really
SEN9455,2025-05-18 19:43:34,4.36,,ERROR,Warehouse 1,cause,lose
SEN8230,2024-12-28 13:25:18,41.49,69.76,OK,Plant B,no,western
SEN2050,2025-06-10 15:34:55,30.03,77.69,ERROR,Plant B,structure,task
SEN7519,2025-02-09 10:56:19,22.84,78.47,ERROR,Plant A,knowledge,just
SEN9841,2024-11-07 12:41:07,49.17,,WARN,Warehouse 1,program,check
SEN6533,2025-06-11 15:07:33,38.06,16.35,OK,Warehouse 1,often,election
SEN5685,2025-03-05 21:04:18,25.65,13.77,ERROR,Warehouse 1,statement,vote
SEN6289,2025-10-14 01:48:01,47.88,23.33,WARN,Plant C,seven,necessary
SEN6098,2025-06-25 19:36:18,11.01,30.1,OK,Plant B,shoulder,usually
SEN5928,2025-06-11 05:59:41,21.99,46.05,WARN,Warehouse 1,low,various
SEN6231,2025-01-08 23:50:43,2.92,86.23,ERROR,Plant B,television,north
SEN8267,2025-09-01 21:27:46,38.42,42.62,OK,Warehouse 1,court,wrong
SEN3719,2025-02-11 00:24:52,-7.69,14.2,OK,Plant A,per,program
SEN3731,2024-11-17 05:01:05,19.27,84.22,WARN,Plant B,doctor,it
SEN2580,2024-11-02 07:41:54,-8.39,82.71,OK,Warehouse 1,land,buy
SEN6105,2025-07-29 17:24:00,34.28,32.06,WARN,Plant C,realize,effect
SEN2833,2025-09-17 03:49:25,34.22,67.81,OK,Plant B,throw,scene
SEN1310,2025-04-25 06:18:08,21.03,99.51,OK,Warehouse 1,see,whatever
SEN7583,2025-02-06 00:53:36,-7.55,39.48,WARN,Warehouse 1,bed,throughout
SEN8507,2025-09-20 11:30:53,36.33,58.17,WARN,Plant A,with,girl
SEN6646,2025-04-03 07:41:22,12.48,24.98,OK,Plant C,success,instead
SEN5686,2025-10-06 23:59:59,-1.72,61.0,ERROR,Plant C,whole,chance
SEN7051,2025-06-13 13:23:53,49.55,13.55,OK,Warehouse 1,before,form
SEN4972,2025-04-29 13:47:28,30.45,46.49,WARN,Plant A,red,conference
SEN6824,2025-01-12 16:29:25,-3.64,69.02,ERROR,Plant C,good,consumer
SEN1803,2024-12-24 11:14:46,14.72,26.93,ERROR,Plant C,down,have
SEN9096,2024-11-13 07:40:00,32.58,64.18,OK,Warehouse 1,him,law
SEN5633,2025-03-22 13:48:47,18.78,51.63,ERROR,Plant A,same,study
SEN9000,2025-05-15 13:40:15,-5.29,61.4,WARN,Warehouse 1,amount,plant
SEN3008,2025-09-05 19:11:44,44.43,94.38,WARN,Plant C,game,member
SEN8886,2024-11-09 10:01:00,29.81,,OK,Plant B,difference,never
SEN3581,2024-11-19 23:02:53,17.55,,ERROR,Plant B,north,manage
SEN3821,2025-10-16 07:56:48,,64.7,WARN,Plant C,company,he
SEN8876,2025-03-20 01:55:30,38.67,72.2,ERROR,Plant B,purpose,through
SEN9317,2025-07-05 18:14:24,-6.54,25.07,ERROR,Plant C,list,who
SEN6911,2025-10-03 11:05:16,34.73,55.2,ERROR,Plant A,bar,practice
SEN1704,2025-01-05 11:41:32,-6.47,54.24,WARN,Plant C,final,drop
SEN9691,2025-01-21 13:16:44,24.27,90.75,WARN,Plant C,economy,ability
SEN4852,2024-12-17 10:48:38,34.31,,ERROR,Plant C,although,score
SEN6902,2025-02-16 04:42:42,,41.08,OK,Warehouse 1,knowledge,mission
SEN5459,2024-12-29 10:46:26,44.12,48.18,ERROR,Warehouse 1,other,down
SEN5738,2025-07-28 01:36:25,24.43,52.74,OK,Plant A,five,respond
SEN5564,2024-12-16 02:00:26,2.45,88.08,ERROR,Warehouse 1,her,music
SEN3300,2024-12-09 14:31:31,25.92,79.57,ERROR,Warehouse 1,usually,ago
SEN2181,2025-01-04 02:27:16,3.2,71.22,WARN,Plant C,gun,inside
SEN9131,2024-12-25 01:32:14,-7.89,31.41,ERROR,Plant C,once,former
SEN7285,2025-04-21 17:43:29,-7.66,95.47,WARN,Plant A,understand,to
SEN1058,2024-10-30 11:36:00,5.82,26.07,OK,Plant A,discuss,tough
SEN3532,2025-06-01 17:01:19,13.08,83.5,OK,Plant A,dinner,discuss
SEN8389,2025-10-09 02:25:54,13.25,42.77,OK,Plant C,miss,discussion
SEN2508,2025-07-03 12:37:04,33.53,,ERROR,Warehouse 1,speech,live
SEN2190,2024-11-15 22:35:11,21.45,68.23,WARN,Warehouse 1,job,two
SEN6108,2025-03-25 21:32:33,37.81,45.71,WARN,Plant C,third,play
SEN2271,2024-10-29 11:34:04,-4.24,25.46,ERROR,Plant C,skin,born
SEN4808,2025-08-26 00:57:26,0.51,94.39,ERROR,Warehouse 1,player,appear
SEN2330,2025-07-03 04:41:18,10.7,78.54,ERROR,Plant A,court,through
SEN5927,2025-03-07 22:33:36,23.27,51.41,ERROR,Warehouse 1,chair,look
SEN7578,2025-07-31 03:08:55,29.07,23.04,WARN,Warehouse 1,move,soldier
SEN9111,2025-05-30 10:20:14,23.89,98.36,OK,Warehouse 1,green,necessary
SEN6995,2025-04-13 22:21:09,23.54,51.57,WARN,Plant B,throughout,lawyer
SEN4940,2024-10-28 07:37:51,-6.32,26.57,WARN,Plant C,parent,get
SEN7504,2025-02-12 17:38:37,18.06,15.77,WARN,Warehouse 1,teacher,mean
SEN3026,2025-02-08 10:28:44,-4.82,78.55,WARN,Plant A,production,improve
SEN5600,2024-11-20 19:25:41,37.64,10.02,OK,Plant B,down,country
SEN4056,2025-02-09 14:21:41,3.32,19.56,ERROR,Plant A,building,strong
SEN6081,2024-12-31 03:42:31,42.67,83.0,ERROR,Plant A,already,newspaper
SEN6368,2025-07-19 02:44:55,-6.42,48.41,WARN,Plant B,billion,write
SEN4220,2025-06-26 19:09:47,48.88,,WARN,Plant B,during,environmental
SEN7748,2025-10-13 19:35:00,,91.56,ERROR,Plant B,court,friend
SEN2182,2025-04-05 10:30:30,14.79,95.34,OK,Plant A,performance,better
SEN3326,2024-12-06 02:21:46,16.68,86.21,WARN,Plant A,form,lose
SEN3945,2025-10-01 21:52:55,35.85,99.9,WARN,Warehouse 1,five,meeting
SEN8049,2025-05-02 01:35:49,14.24,83.41,WARN,Plant C,type,blue
SEN4570,2025-08-09 14:13:14,29.94,67.53,ERROR,Plant B,protect,star
SEN4277,2025-06-14 00:16:59,6.76,26.92,ERROR,Plant B,month,couple
SEN8919,2025-03-04 18:04:01,6.68,87.79,OK,Plant C,technology,between
SEN7457,2025-08-29 21:58:35,,12.7,ERROR,Warehouse 1,management,respond
SEN3799,2024-11-09 17:24:33,14.68,50.36,ERROR,Warehouse 1,say,base
SEN8805,2025-05-08 12:17:57,,43.39,ERROR,Warehouse 1,wall,movement
SEN2331,2025-07-23 12:23:47,,80.17,ERROR,Plant B,crime,choice
SEN4970,2025-05-01 19:59:17,47.78,98.82,WARN,Plant A,skill,pick
SEN1294,2025-10-02 23:12:17,6.9,86.35,OK,Warehouse 1,on,which
SEN8274,2025-09-10 03:29:30,28.97,,ERROR,Plant A,go,sign
SEN4763,2025-07-03 00:34:33,21.81,78.6,OK,Warehouse 1,final,born
